domain,hit_count
msg.ptqy.gitv.tv,175
openapi.vip.ptqy.gitv.tv,18
policy.video.ptqy.gitv.tv,483
puma-api.ptqy.gitv.tv,4
sdk-cache.video.ptqy.gitv.tv,257
sdk.ptqy.gitv.tv,498
si.ptqy.gitv.tv,245
static.ptqy.gitv.tv,10
t7z.cupid.ptqy.gitv.tv,284
time.video.ptqy.gitv.tv,50
i1.go2yd.com,2
rl.go2yd.com,2
si1.go2yd.com,2
ogads-pa.clients6.google.com,3
ssl.google-analytics.com,5146
www.google-analytics.com,140
clientservices.googleapis.com,54
crashlyticsreports-pa.googleapis.com,21
firebaselogging.googleapis.com,6
footprints-pa.googleapis.com,2
www.googletagmanager.com,3
gnar.grammarly.com,107
extension.femetrics.grammarly.io,87
f-log-extension.grammarly.io,109
pgdt.gtimg.cn,22
beacons.gvt2.com,54
metrics1.data.hicloud.com,14
stun.hitv.com,1916
e-ad-monitor.huya.com,2
fileserverpcdn.cdn.huya.com,2
qn-fileserverpcdn.cdn.huya.com,2
udblog.huya.com,2
xy-fileserverpcdn.cdn.huya.com,2
ylog.huya.com,2
metrics-config.icloud.com,6
id6.me,238
sdk.open.phone.igexin.com,12
sdk.open.talk.igexin.com,9
507902240b3a40e8a79d96cccd8aecad.tgpa.imtmp.net,2
yoda.kwd.inkuai.com,2
static-s.iqiyi.com,142
s3.irs03.com,86
blackhole.m.jd.com,2
dgstatic.jd.com,8
dsp-x.jd.com,21
im-x.jd.com,4
janapi.jd.com,25
knicks.jd.com,2
log.jd.com,2
mars.jd.com,10
policy.jd.com,2
xlog.jd.com,36
smartop-sdkapi-ipv6.jiguang.cn,12
smartop-sdkapi.jiguang.cn,12
_apns._tcp.jpush.cn,10
ali-stats.jpush.cn,2
bjuser-ipv6.jpush.cn,10
bjuser.jpush.cn,10
ce3e75d5-ipv6.jpush.cn,18
ce3e75d5.jpush.cn,18
config-ipv6.jpush.cn,16
config.jpush.cn,16
fcapi-ipv6.jpush.cn,4
fcapi.jpush.cn,4
im64.jpush.cn,2
s.jpush.cn,145
sis-ipv6.jpush.cn,104
stats-ipv6.jpush.cn,2
stats.jpush.cn,2
status-ipv6.jpush.cn,81
tsis-ipv6.jpush.cn,2
tsis.jpush.cn,2
sis.jpush.io,139
bbbhjbhbiuhbq.jspcdn.cn,4
bkjhvughbiqhbiv.jspcdn.cn,10
jehbdjhjbhdi.jspcdn.cn,2
jihbgihvihkv.jspcdn.cn,3
jihbgqhbqdhbeq.jspcdn.cn,11
vbbhebhbjhjq.jspcdn.cn,4
vbkhekhuvhbvi.jspcdn.cn,2
vuqenkdqvneqcmnnbqq.jspcdn.cn,2
vuqenkdvknpvttndnnbqq.jspcdn.cn,10
vuqenkmvknimaqncnnbqq.jspcdn.cn,2
vuqenkmvknimqdneqqnnbqq.jspcdn.cn,2
vuqenkmvqnpkgvnkqqunnbqq.jspcdn.cn,22
vuqenkmvqnppgbngvenqnjsknqnbqq.jspcdn.cn,4
vuqenkmvqnvkmbnvqvnqnjnqnbqb.jspcdn.cn,2
vuqknkdjmncqbinbjnnbqq.jspcdn.cn,2
vuqknkduqngbttnvnqnbnqnbqq.jspcdn.cn,2
789.kakamobi.cn,2
smart-789.kakamobi.cn,4
gdfp.ksapisrv.com,4
gdfpsec.ksapisrv.com,14
kste.ksapisrv.com,4
ulogjs.ksapisrv.com,16
w1.kskwai.com,2
dl.cm.ksmobile.com,4
mi.beha.ksmobile.com,16
api.kingdata.ksyun.com,56
open.e.kuaishou.cn,39
adtrack.e.kuaishou.com,12
api.e.kuaishou.com,2
open.e.kuaishou.com,67
promotion-partner.kuaishou.com,12
open.kuaishouzt.com,10
ttxyajs.data.kuiniuca.com,89
api.kwaizt.com,4
open.kwaizt.com,6
120-226-71-18-ad3fa6bc.ldhy.click,2
120-226-71-29-ad446225.ldhy.click,2
240e-935-a04-5605-0-0-0-11-ad464728.ldhy.click,2
240e-935-a04-5605-0-0-0-12-ad2301d0.ldhy.click,2
240e-935-a04-5605-0-0-0-13-adc15a7d.ldhy.click,2
240e-935-a04-5605-0-0-0-14-ad618567.ldhy.click,2
240e-935-a04-5605-0-0-0-14-add21d02.ldhy.click,2
240e-935-a04-5605-0-0-0-15-adcf2bcf.ldhy.click,2
240e-935-a04-5605-0-0-0-17-adebf092.ldhy.click,2
240e-935-a04-5605-0-0-0-19-ad716648.ldhy.click,2
240e-935-a04-5605-0-0-0-1a-ada0947d.ldhy.click,2
240e-935-a04-5605-0-0-0-1b-ad5eb5ed.ldhy.click,2
240e-935-a04-5605-0-0-0-1b-adfbd369.ldhy.click,2
240e-935-a04-5605-0-0-0-1c-adeaf75f.ldhy.click,2
240e-935-a04-5605-0-0-0-1d-addc1623.ldhy.click,2
240e-935-a04-5605-0-0-0-1e-ad64c982.ldhy.click,2
240e-935-a04-5605-0-0-0-1f-ad4dbee8.ldhy.click,2
240e-935-a04-5605-0-0-0-1f-ad52c4ab.ldhy.click,2
240e-935-a04-5605-0-0-0-20-adb0a1ce.ldhy.click,2
240e-935-a04-5605-0-0-0-d-ad284074.ldhy.click,2
36-133-101-19-adce75b7.ldhy.click,2
click.lenovo.com,14
px.ads.linkedin.com,37
trace.mediago.io,4
babel-statistics-android.dreport.meituan.net,4
bd0.dreport.meituan.net,2
data-sdk-uuid-log.d.meituan.net,4
dreport.meituan.net,14
maplocatesdksnapshot.dreport.meituan.net,12
dsp-api-cn.metricslinks.com,6
idm.iot.mi.com,156
sentry.d.mi.com,48
stat.youpin.mi.com,10
baidu-mipdx.cn.miaozhen.com,4
e.cn.miaozhen.com,2
g.cn.miaozhen.com,38
pd.ads.cn.miaozhen.com,144
qtsftl.m.cn.miaozhen.com,506
tybili.m.cn.miaozhen.com,2
xiaomi-dtv.m.cn.miaozhen.com,8
xiaomi-mipdx.cn.miaozhen.com,8
api.edgeoffer.microsoft.com,6
browser.events.data.microsoft.com,40
c1.microsoft.com,12
crl.microsoft.com,13
functional.events.data.microsoft.com,1354
inputsuggestions.msdxcdn.microsoft.com,2
mobile.events.data.microsoft.com,3562
self.events.data.microsoft.com,24906
target.microsoft.com,21
v10.events.data.microsoft.com,317
v20.events.data.microsoft.com,328
watson.events.data.microsoft.com,78
web.vortex.data.microsoft.com,4
www.telecommandsvc.microsoft.com,4
ztd.dds.microsoft.com,4
adv.sec.miui.com,143
ai.search.miui.com,4
api-ipv4.browser.miui.com,18
api.sec.miui.com,334
api.transfer.sec.miui.com,10
api.tw06.xlmc.sec.miui.com,151
apm-rum.inf.miui.com,6
auth.be.sec.miui.com,53
c3-cache.browser.miui.com,4
ccc.sys.miui.com,207
cse.avlyun.sec.miui.com,2
data.sec.miui.com,120
feedback.miui.com,2
file-s1.browser.miui.com,9
flash.sec.miui.com,100
ha.browser.miui.com,19
hd.browser.miui.com,30
hot.browser.miui.com,53
httpdns.browser.miui.com,4
jupiter.sys.miui.com,93
logupdate.avlyun.sec.miui.com,61
mcc.inf.miui.com,444
metok.sys.miui.com,4476
mqs-log.miui.com,2
om.tracking.miui.com,383
port.sec.miui.com,29
preview.jupiter.sys.miui.com,423
qsb.browser.miui.com,8
r.browser.miui.com,48
security.browser.miui.com,138
static.mcc.miui.com,4
sug.browser.miui.com,8
tracking.miui.com,5178
update.avlyun.sec.miui.com,42
gm.mmstat.com,3
s-gm.mmstat.com,6
wgo.mmstat.com,12
api-share.mob.com,2
zxid-m.mobileservice.cn,6
browser.events.data.msn.cn,259
srtb.msn.cn,20
livewebbs2pcdn.msstatic.com,2
pp-cdnfile1pcdn.msstatic.com,2
qn-cdnfile1pcdn.msstatic.com,2
qn-livewebbs2pcdn.msstatic.com,2
xy-cdnfile1pcdn.msstatic.com,2
xy-livewebbs2pcdn.msstatic.com,2
aefd.nelreports.net,70
deff.nelreports.net,95
httpdns.n.netease.com,4
aiaao5m4zeow5xuy.nexusedgeio.com,2
aiaaqgyiwoj2jb2w.nexusedgeio.com,2
aiabhtbglewgw64d.nexusedgeio.com,2
aiabomsixriw6flc.nexusedgeio.com,2
aiacdiqu43rzstch.nexusedgeio.com,2
aiadzp4yqyz3cqhi.nexusedgeio.com,2
aiahlipfmbwsk7ks.nexusedgeio.com,2
aiaixttjwqy2dcx2.nexusedgeio.com,2
aiajphagym2gcuoa.nexusedgeio.com,2
aiajtyyo6nten3og.nexusedgeio.com,2
aial3yckm3rk2lk4.nexusedgeio.com,2
aiampderlqglaaor.nexusedgeio.com,2
aiamvm6zkoodosxe.nexusedgeio.com,2
aiamzipmrmw7g3ta.nexusedgeio.com,2
aianfd5yl4ybu6r5.nexusedgeio.com,4
aianmbkujyvo6fun.nexusedgeio.com,2
aiao424wkmshyg5z.nexusedgeio.com,2
aiaoq5frlfmviget.nexusedgeio.com,2
aicc323llrxcaepacgq47hgeeagzxbkuv7gwedrkma888888.nexusedgeio.com,2
aicc4smfk7yvrzreb34h6gl4wixfnzbfhekthxoa3a888888.nexusedgeio.com,2
aichaxjzruoup7iczorteyaj7ydnymlvwbngpvjb5a888888.nexusedgeio.com,2
aicjoyabqldbpvru2ri5dqgh4ocwmna3t7ogyzon7e888888.nexusedgeio.com,2
events.telemetry.data.nvidia.cn,294
analytics.oceanengine.com,22
graph-next.fp.measure.office.com,74
awscn.okpool.top,1
wallet.okx.ac,55
wallet.okx.cab,55
wallet.okx.com,55
web3.okx.com,13
www.okx.com,107
msftenterprise.sc.omtrdc.net,3
natdetection.onethingpcs.com,29
api2.openinstall.io,2
res.cdn.openinstall.io,4
stat2.openinstall.io,2
abtest.openspeech.cn,7
imeclient.openspeech.cn,12
imeffkdword.openspeech.cn,4
planconfig.openspeech.cn,152
web3.oyimjwcxnt.com,4
www.pangolin-dsp-toutiao.com,28
api-access.pangolin-sdk-toutiao.com,56
gromore.pangolin-sdk-toutiao.com,12
log-api.pangolin-sdk-toutiao.com,4
api-access.pangolin-sdk-toutiao-b.com,51
api-access.pangolin-sdk-toutiao1.com,158
sf3-fe-tos.pglstatp-toutiao.com,16
sf6-fe-tos.pglstatp-toutiao.com,19
adim.pinduoduo.com,162
t-dsp.pinduoduo.com,80
th.pinduoduo.com,18
86ktf7cwsyr2c.v1d.pkoplink.com,4
a2n6tevr3klgl.v1d.pkoplink.com,2
c2r7oedn3semx.v1d.pkoplink.com,2
c2r7oenk3semx.v1d.pkoplink.com,2
d7kpq5tynxy6w.v1d.pkoplink.com,2
dvzqy5paqc7a3.v1d.pkoplink.com,8
gamynxqzay5cqpnhpmxo8v1vdaces5lz.v1d.pkoplink.com,2
gatxxf1zk96cvovq9agt8k1vdbxyv2zn.v1d.pkoplink.com,2
gf11fld2jwvyg2p5p7x3ogfvdjxfyqen.v1d.pkoplink.com,2
glwxyj1zeashbojp9agcekhtdfho7qqm.v1d.pkoplink.com,2
n2pyvksprn2dj.v1d.pkoplink.com,2
n9rvvaynsstnx.v1d.pkoplink.com,2
nmjjrz1lrkxql.v1d.pkoplink.com,2
s3lv56ngrkxql.v1d.pkoplink.com,2
sk16v5371n8zj.v1d.pkoplink.com,2
sk16v5mp1n8ag.v1d.pkoplink.com,2
tf11s8729f11111r8ac1q2stdjwfzn2f.v1d.pkoplink.com,2
tf11tqa2af11111r9a71seevd9e9flov.v1d.pkoplink.com,2
tf11tvbbhf11111rda6r89etdavewwvt.v1d.pkoplink.com,2
tlpcvcnatsnpz.v1d.pkoplink.com,2
tlpcvcngtsnpz.v1d.pkoplink.com,2
placehold.co,28
yumao.puata.info,2
www.qchannel01.cn,38
a.qchannel03.cn,4
b.qchannel03.cn,14
bdloc.qchannel03.cn,10
d.qchannel03.cn,2
fd.qchannel03.cn,2
gdloc.qchannel03.cn,30
gdloc2.qchannel03.cn,30
log.qchannel03.cn,2
truth.qchannel03.cn,2
www.qchannel03.cn,2
log.qvb.qcloud.com,16
jspassport.ssl.qhimg.com,2
path.qidian.com,60
aegis.qq.com,20
aeventlog.beacon.qq.com,15841
analytics.map.qq.com,2819
android.bugly.qq.com,535
android.rqd.qq.com,13
apikey.map.qq.com,8
appcfg.v.qq.com,34
appsupport.qq.com,4
astrategy.beacon.qq.com,92
bugly.qq.com,2
c.isdspeed.qq.com,2
c3.gdt.qq.com,39
canvas-cdn.gdt.qq.com,81
cc.map.qq.com,99
cfg.imtt.qq.com,24
configsvr.msf.3g.qq.com,216
file.daihuo.qq.com,1370
game.eve.mdt.qq.com,389
game.str.mdt.qq.com,6
h.trace.qq.com,162
ii.gdt.qq.com,2
img.ssl.msdk.qq.com,18
info.3g.qq.com,4
ios.bugly.qq.com,3
ipv4.gdt.qq.com,86
log.tbs.qq.com,12
masdkv6.3g.qq.com,132
mazu.3g.qq.com,19
mi.gdt.qq.com,36
oth.eve.mdt.qq.com,386
oth.str.beacon.qq.com,3
oth.str.mdt.qq.com,37
otheve.beacon.qq.com,180
p.l.qq.com,2
pro.bugly.qq.com,16
qappcenterv6.3g.qq.com,336
qqdata.ab.qq.com,14
report.qqweb.qq.com,2
report.tv.kohesport.qq.com,2
rmonitor.qq.com,348
rpt.gdt.qq.com,8
sdk.e.qq.com,513
sdkreport.e.qq.com,80
snowflake.qq.com,413
ssl.log.wtlogin.qq.com,2
szlong.weixin.qq.com,171
tangram-config.gdt.qq.com,102
tangram.e.qq.com,16
tdid.m.qq.com,151
tmead.y.qq.com,4
tmfmazu-wangka.m.qq.com,2
tmfsdk.m.qq.com,16
tmfsdktcpv4.m.qq.com,2
tools.3g.qq.com,144
unitelogreport.reader.qq.com,152
us.l.qq.com,2
v2.gdt.qq.com,27
v2ii.gdt.qq.com,2
v2mi.gdt.qq.com,39
v3.gdt.qq.com,39
vv.video.qq.com,18
win.gdt.qq.com,14
wnsmusic.qq.com,2
wup.imtt.qq.com,4
wxa.wxs.qq.com,389
wxadliteapp.gdt.qq.com,6
wximg.wxs.qq.com,648
wxsmw.wxs.qq.com,62
wxsnsdythumb.wxs.qq.com,49
xs.gdt.qq.com,10
yun-hl.3g.qq.com,8
px.wpk.quark.cn,1379
track.lc.quark.cn,8
v2.reachmax.cn,204
trace.rtbasia.com,2
etl-xlmc-ssl.sandai.net,244
hub5pn.wap.sandai.net,85
hub5pnc.sandai.net,12
hub5u.wap.sandai.net,6
idx.m.hub.sandai.net,6
master.wap.dphub.sandai.net,6
sb.scorecardresearch.com,59
abtest-tx-beijing-01.saas.sensorsdata.cn,12
sf-static.sensorsdata.cn,2
sfn-tx-static.sensorsdata.cn,2
xiaoheikeji.sfn-tx-beijing-01.saas.sensorsdata.cn,4
o311478.ingest.sentry.io,10
o33249.ingest.sentry.io,6
o33249.ingest.us.sentry.io,12
sentry.io,14
umini.shujupie.com,2
hdaa.shuzilm.cn,6
huichuan-mc.sm.cn,7
huichuan.sm.cn,27
image-ad.sm.cn,7
mipstatic.sm-tc.cn,2
analytics-api-01.smzdm.com,6
analytics-api.smzdm.com,110
abtest-ch.snssdk.com,18
gecko.snssdk.com,4
i.snssdk.com,178
log-hl.snssdk.com,2
log-lq.snssdk.com,4
log.snssdk.com,106
mon.snssdk.com,478
pc-mon.snssdk.com,8
tnc3-aliec2.snssdk.com,24
tnc3-alisc1.snssdk.com,24
tnc3-bjlgy.snssdk.com,65
input.shouji.sogou.com,81
worldwide.sogou.com,143
ws-keyboard.shouji.sogou.com,779
adx-bj.statisticslinks.com,4
adx-micro.statisticslinks.com,2
adx-strategy-api-cn.statisticslinks.com,10
datk.statisticslinks.com,16
df.tanx.com,14
ef-dongfeng.tanx.com,10
et.tanx.com,30
ifs.tanx.com,2
kgb-ifs.tanx.com,2
opehs.tanx.com,28
rdstat.tanx.com,2
sdk-config.tanx.com,4
accscdn.m.taobao.com,6
adashbc.ut.taobao.com,30
adashx.m.taobao.com,24
amdc.m.taobao.com,34
err.taobao.com,6
fourier.taobao.com,5
gaode-jmacs.m.taobao.com,39
h-adashx.ut.taobao.com,432
h-adashx4bc.ut.taobao.com,37
openjmacs4uc.m.taobao.com,40
sjarvis.taobao.com,10
tunion-api.m.taobao.com,4
umengacs.m.taobao.com,18
e.tapdb.net,26
log.tec73.com,2
access1.tpns.tencent.com,16
galileotelemetry.tencent.com,993
guid.tpns.sh.tencent.com,263
guid.tpns.tencent.com,16
ping.cloud.tencent.com,3
sensors.cloud.tencent.com,3
tpstelemetry.tencent.com,116
apd-pcdnvodstat.teg.tencent-cloud.net,8
apd-pcdnwxlogin.teg.tencent-cloud.net,514
apd-pcdnwxnat.teg.tencent-cloud.net,506
apd-pcdnwxstat.teg.tencent-cloud.net,515
ad.tencentmusic.com,2
report.tencentmusic.com,2
abtest.todesk.com,160
st.todesk.com,317
todesk-log-upload.todesk.com,7
dm-hl.toutiao.com,10
dm.toutiao.com,10
monsetting.toutiao.com,90
zhanzhang.toutiao.com,22
s.tuia.cn,4
adx-cfg-u1.ubixioe.com,4
adx-data-u1.ubixioe.com,16
entry-su1.ubixioe.com,2
adashx.ut.uc.cn,24
applog-perf.uc.cn,18
applog.uc.cn,81
client.tv.uc.cn,4
h-adashx.ut.uc.cn,114
partner.uc.cn,19
s-adashx.ut.uc.cn,6
track.uc.cn,6
wmedia-track.uc.cn,7
woodpecker.uc.cn,8
u.uc123.com,4
u.ucfly.com,4
puds.ucweb.com,6
px.ucweb.com,376
safe.ucweb.com,4
uc.ucweb.com,4
utp-dmp.ucweb.com,4
utp.ucweb.com,4
vs10.bj2ct.u3.ucweb.com,4
adsmind.ugdtimg.com,46
pgdt.ugdtimg.com,41
amdcopen.m.umeng.com,26
aspect-upush.umeng.com,18
audid.umeng.com,10
cnlogs.umeng.com,78
errlog.umeng.com,2
errnewlog.umeng.com,12
offmsg.umeng.com,6
pigeon.umeng.com,98
resolve.umeng.com,40
ulogs.umeng.com,8
utoken.umeng.com,14
cnlogs.umengcloud.com,38
msg.umengcloud.com,8
ulogs.umengcloud.com,8
zzhc.vnet.cn,2069
log.voicecloud.cn,36
stun.voiparound.com,8
klink.volceapplog.com,28
apmplus.volces.com,520
gator.volces.com,226
mssdk.volces.com,51
tab.volces.com,62
badjs.weixinbridge.com,76
sdk.api.oaid.wocloud.cn,2
auth.wosms.cn,4
imp.ad.xelements.cn,64
mon.ad.xelements.cn,64
ad.xhey.top,6
ad-server.xhgamesdk.com,2
api.ad.xiaomi.com,2147
api.developer.xiaomi.com,24
api.hybrid.xiaomi.com,47
api.installer.xiaomi.com,97
api.miui.security.xiaomi.com,2
api.xmpush.xiaomi.com,121
appstore.cdn.pandora.xiaomi.com,3320
cdn.exp.xiaomi.com,234
data.mistat.xiaomi.com,46
diagnosis.ad.xiaomi.com,129
image.cdn.pandora.xiaomi.com,3322
milink.pandora.xiaomi.com,263
misc.pandora.xiaomi.com,708
package.box.xiaomi.com,3322
redirect.pandora.xiaomi.com,4018
resolver.mi.xiaomi.com,75
sdkconfig.ad.xiaomi.com,1444
stats.music.xiaomi.com,2
t1.market.xiaomi.com,9
t2.a.market.xiaomi.com,8
t3.a.market.xiaomi.com,28
t4.a.market.xiaomi.com,10
t5.a.market.xiaomi.com,12
thm.market.xiaomi.com,55
track.ad.xiaomi.com,2
tracker.ai.xiaomi.com,510
tz.sec.xiaomi.com,131
video.market.xiaomi.com,3326
wtradv.market.xiaomi.com,45
api.device.xiaomi.net,308
api.g.micloud.xiaomi.net,125
findapi.micloud.xiaomi.net,25
sentry.d.xiaomi.net,8
statusapi.micloud.xiaomi.net,1325
tracker.xiaomixiaoai.com,617
sd-gl.xinqiucc.com,182
seeds-open.xinqiucc.com,164
p2p-punch-v6.xxpkg.com,32
p2p-punch.xxpkg.com,6
isvip0xyajs-data.xycdn.com,28
sd-gl.xycdn.com,95
seeds-open.xycdn.com,205
api.yfanads.com,2
